Year,Area_Code,Prefecture,Area,Population,Population_M,Population_F,Populatioin_Japanese,Population_U15,Population_15to64,Population_O65,Number_of_Birth,Total_Fertility_Rate,Number_of_Death,Immigrants_Japanese,Out_Immigrant_Japanese,Marriage,Divorce,Temperature_Average,Temperature_Max,Temperature_Min,Precipitation,Kndergarten_Children_Number,Nursery_School_Children,Elementary_School_Teachers,Elementary_School_Students,Junior_High_School_Teachers,Junior_High_School_Students,High_School_Teachers,High_School_Students,University_Teachers,University_Students,University_Graduates,Waste_Per_Person,Recycling_Waste_Rate,Hospital,Consumption_Expenses,Food_Expenses,Housing_Expenses,Utility_Expenses,Clothing_Expenses,Healthcare_Expenses,Transportaion_Communication_Expenses,Education_Expenses,Entertaiment_Expenses,Other_Consumption_Expenses
2010,R27000,osaka,Kansai,8865245,4285566,4579679,8584957,1165200,5648070,1962748,75080,1,76556,151123,154693,51242,20752,17,35,3,1568,122038,129132,26976,492154,16105,248276,14799,225421,12595,206642,44430,1090,12,501,256317,69515,19886,19791,9833,9847,28939,11667,26552,52354
2010,R28000,hyogo,Kansai,5588133,2673328,2914805,5459903,759277,3515442,1281486,47834,1,51568,90632,93275,29752,10738,17,34,3,1633,71283,75374,18544,321173,10721,160222,10235,143271,6570,113384,24196,1006,17,317,275533,70666,12522,19431,12006,12510,33361,16424,32890,57751
2010,R29000,nara,Kansai,1400728,663321,737407,1386302,184011,875062,333746,10694,1,13036,25690,27987,6595,2602,15,35,0,1588,18273,19361,4952,78963,3041,41546,2641,38396,1453,21760,4885,932,14,71,318381,72210,17833,22313,13993,13353,41233,19786,37030,69076
2010,R30000,wakayama,Kansai,1002198,471397,530801,992144,128005,594573,270846,7587,1,12049,12064,14289,4771,2077,17,34,3,1578,8628,18880,3933,55625,2515,30296,2321,29889,654,7148,1582,1010,14,82,235118,62084,9430,18814,8355,11349,26607,6925,27836,55415
2010,R31000,tottori,Tyugoku,588667,280701,307966,582154,77951,352098,153614,4790,2,6947,9319,10451,2834,1141,16,36,1,1831,4486,15651,2540,32588,1458,16763,1476,17172,788,5934,1259,964,25,40,266857,66389,17698,21400,10942,12015,34731,8607,27557,58649
2010,R32000,shimane,Tyugoku,717397,342991,374406,708701,92218,414153,207398,5756,2,9109,10749,12319,3283,1110,16,34,1,1857,5000,19829,3429,38409,1963,20238,1831,20216,776,6417,1419,917,24,46,280553,66722,19168,24355,11563,9850,40490,8032,26474,63790
2010,R33000,okayama,Tyugoku,1945276,933168,1012108,1912378,264853,1178493,484718,16759,2,20248,28005,30089,9894,3626,17,35,1,1216,19732,38578,7121,110660,4133,56712,4039,54833,3273,35825,8048,948,26,157,291751,62198,23219,21192,12218,13194,43084,9803,33098,63498
2010,R34000,hiroshima,Tyugoku,2860750,1380671,1480079,2795205,386810,1765036,676660,25546,2,27561,47265,49167,15402,5472,17,35,1,1586,33620,52429,9503,160310,5508,81859,5547,76032,3969,53156,11405,902,24,223,305266,69498,20927,23530,12884,13824,37831,11081,33122,70661
2010,R35000,yamaguchi,Tyugoku,1451338,684176,767162,1436515,184049,857956,404694,11551,2,17646,23041,25927,6966,2531,16,34,0,2084,16558,23467,5263,77062,3273,39405,3083,36796,1410,17100,3670,1242,37,119,303985,67040,18927,21395,12331,13237,43503,14303,34773,66766
2010,R36000,tokushima,Shikoku,785491,372710,412781,776242,96596,471788,209926,5904,1,9307,10120,11705,3573,1445,17,34,3,1506,7890,14522,3304,41408,1916,21575,1834,21058,1592,11612,2388,959,18,102,317357,65955,20563,21817,13033,12590,49194,12055,35152,77621
2010,R37000,kagawa,Shikoku,995842,479951,515891,981113,131670,595451,253245,8397,2,11064,18458,19863,4975,1928,17,35,2,988,14936,19569,3609,56851,2127,27844,2161,26194,874,9069,1917,903,21,84,313848,63276,16735,21416,12883,12668,42070,11073,35079,87971
